Movie Name,Address,Rating,Date,Closed Captioning,Zip,Park Name
The Goonies,"{""latitude"": ""41.89619446"", ""longitude"": ""-87.66043091"", ""human_address"": ""{\""address\"": \""1330 W. Chicago Ave. Chicago IL 60642\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60642\""}""}",PG,2014-08-10,Y,60642,Eckhart Park
Gremlins,"{""latitude"": ""41.94267654"", ""longitude"": ""-87.76173401"", ""human_address"": ""{\""address\"": \""3420 N. Long Ave. Chicago IL 60641\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60641\""}""}",PG,2014-06-14,,60641,Chopin Park
The Lego Movie,"{""latitude"": ""41.96262741"", ""longitude"": ""-87.74201202"", ""human_address"": ""{\""address\"": \""4550 W. Sunnyside Ave. Chicago IL 60630\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60630\""}""}",PG,2014-08-23,,60630,Mayfair Park
Mandela: Long Walk to Freedom,"{""latitude"": ""41.80422211"", ""longitude"": ""-87.59378815"", ""human_address"": ""{\""address\"": \""1330 E. 50th St. Chicago IL 60615\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60615\""}""}",PG-13,2014-06-26,Y,60615,Kenwood Community Park
Instructions Not Included,"{""latitude"": ""41.92288589"", ""longitude"": ""-87.75176239"", ""human_address"": ""{\""address\"": \""2318 N Lavergne Ave Chicago, IL 60639\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60639\""}""}",PG-13,2014-08-19,Y,60639,Blackhawk Park
Stomp the Yard,"{""latitude"": ""41.87814331"", ""longitude"": ""-87.75273132"", ""human_address"": ""{\""address\"": \""5085 W. Adams St. Chicago IL 60644\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60644\""}""}",PG-13,2014-08-21,Y,60644,Moore Park
The Muppet Movie,"{""latitude"": ""42.0148735"", ""longitude"": ""-87.67243958"", ""human_address"": ""{\""address\"": \""7348 N. Paulina St. Chicago IL 60626\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60626\""}""}",G,2014-07-30,,60626,Touhy Park
Back to the Future,"{""latitude"": ""41.98849869"", ""longitude"": ""-87.71220398"", ""human_address"": ""{\""address\"": \""3312 W. Thorndale Ave. Chicago IL 60659\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60659\""}""}",PG,2014-06-21,Y,60659,Hollywood Park
The Hunger Games: Catching Fire,"{""latitude"": ""41.89749146"", ""longitude"": ""-87.61992645"", ""human_address"": ""{\""address\"": \""808 N Lake Shore Dr Chicago, IL 60611\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60611\""}""}",PG-13,2014-08-26,Y,60611,Lake Shore Park
Avengers,"{""latitude"": ""41.95268631"", ""longitude"": ""-87.72504425"", ""human_address"": ""{\""address\"": \""3945 N. Springfield Ave. Chicago IL 60618\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60618\""}""}",PG-13,2014-07-11,,60618,Independence Park
Despicable Me 2,"{""latitude"": ""41.81347275"", ""longitude"": ""-87.66633606"", ""human_address"": ""{\""address\"": \""4430 S. Marshfield Ave. Chicago IL 60609\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60609\""}""}",PG,2014-07-31,Y,60609,Davis Square Park
Ghostbusters,"{""latitude"": ""41.89163208"", ""longitude"": ""-87.68981934"", ""human_address"": ""{\""address\"": \""2526 W. Grand Ave. Chicago, IL 60612\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60612\""}""}",PG,2014-07-22,Y,60612,Smith Park
Dr. Strangelove,"{""latitude"": ""41.90821838"", ""longitude"": ""-87.67736053"", ""human_address"": ""{\""address\"": \""1425 N. Damen Avenue Chicago IL 60622\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60622\""}""}",PG,2014-06-26,Y,60622,Wicker Park
Gremlins,"{""latitude"": ""41.79777908"", ""longitude"": ""-87.78858948"", ""human_address"": ""{\""address\"": \""6660 W. 52nd St. Chicago IL 60638\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60638\""}""}",PG,2014-07-10,Y,60638,Normandy Playground Park
The Smurfs 2,"{""latitude"": ""41.93524551"", ""longitude"": ""-87.79602051"", ""human_address"": ""{\""address\"": \""3020 N Oak Park Ave Chicago, IL 60634\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60634\""}""}",PG,2014-06-19,Y,60634,Bell Park
Ghostbusters,"{""latitude"": ""41.96598053"", ""longitude"": ""-87.78197479"", ""human_address"": ""{\""address\"": \""4638 N. Melvina Ave. Chicago IL 60630\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60630\""}""}",PG,2014-07-11,Y,60630,Dunham Park
The Lego Movie,"{""latitude"": ""41.92081833"", ""longitude"": ""-87.79712677"", ""human_address"": ""{\""address\"": \""6871 W. Belden Ave. Chicago IL 60635\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60635\""}""}",PG,2014-06-28,Y,60635,Rutherford Sayre Park
Roll Bounce,"{""latitude"": ""41.81412125"", ""longitude"": ""-87.59686279"", ""human_address"": ""{\""address\"": \""4434 S. Lake Park Ave. Chicago IL 60653\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60653\""}""}",PG-13,2014-07-26,Y,60653,Kennicott Park
Delivery Man,"{""latitude"": ""41.96598053"", ""longitude"": ""-87.78197479"", ""human_address"": ""{\""address\"": \""4638 N. Melvina Ave. Chicago IL 60630\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60630\""}""}",PG-13,2014-06-13,,60630,Dunham Park
Captain Phillips,"{""latitude"": ""41.89364243"", ""longitude"": ""-87.64193726"", ""human_address"": ""{\""address\"": \""630 N. Kingsbury St. Chicago IL 60606\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60606\""}""}",PG-13,2014-07-19,Y,60606,"Ward, A. Montgomery Park"
